Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000007216,Zfp775,Gene Expression,0.01980343473221648,0.03976628185565967,0.08860150181925977,238,0.16894960406053267,202
ENSMUSG00000084883,Ccdc85c,Gene Expression,0.01980248010805593,0.038083902113112966,0.085257315606697,67,0.05372867700455933,63
ENSMUSG00000024187,Fam234a,Gene Expression,0.0198023929072023,0.040245666275054326,0.08950398319926084,489,0.363835803468722,362
ENSMUSG00000021596,Mctp1,Gene Expression,0.019795470846205174,0.038939571456676036,0.08701110921877993,250,0.17755563955568643,201
ENSMUSG00000066269,Olfr575,Gene Expression,0.019790109146906203,0.034615175242085794,0.07838457524847495,30,0.026772949742241578,29
ENSMUSG00000040188,Scamp2,Gene Expression,0.019790020745900534,0.040539166726935694,0.09003199840474271,2018,1.5557379796205952,810
ENSMUSG00000003437,Paf1,Gene Expression,0.01978556881533517,0.040370198045785344,0.08972914577181593,532,0.40031174628792343,366
ENSMUSG00000025192,Entpd7,Gene Expression,0.019782293517845686,0.040006776803130695,0.08904465825890896,277,0.23388709150981044,231
ENSMUSG00000049659,Aftph,Gene Expression,0.019780372375184926,0.040253421733593475,0.08951089832864864,329,0.22467671081316148,256
ENSMUSG00000038608,Dock10,Gene Expression,0.01977318708708839,0.039928405961699553,0.08889076372291468,209,0.14609644843950187,179
ENSMUSG00000053347,Zfp943,Gene Expression,0.019766751802353693,0.03917682044443738,0.08746304067550331,117,0.08553651797483722,110
ENSMUSG00000017446,C1qtnf1,Gene Expression,0.019766103244029925,0.040497822096021485,0.08996091784872016,441,0.3587477908119341,339
ENSMUSG00000044122,Proca1,Gene Expression,0.01975600310620302,0.03661900518468264,0.0823606997301069,49,0.035575085582786214,49
ENSMUSG00000026602,Nphs2,Gene Expression,0.019750842193527005,0.02613395988756606,0.06099295835176835,10,0.00743478759680723,10
ENSMUSG00000028268,Gbp3,Gene Expression,0.019749164755872625,0.04039430218671347,0.0897723642783737,275,0.18605274645627307,232
ENSMUSG00000070643,Sox13,Gene Expression,0.019748170867716307,0.04006643205219329,0.08916713410160054,166,0.132309445693844,146
ENSMUSG00000044881,Coa4,Gene Expression,0.019745554241814716,0.040413827659766755,0.08980539834983463,283,0.20828353166576014,241
ENSMUSG00000045211,Nudt18,Gene Expression,0.0197383857525806,0.040802815462039455,0.09053403693327791,451,0.3132258194990185,345
ENSMUSG00000049107,Ntf3,Gene Expression,0.01973006501876552,0.037921543620144105,0.08494319955652788,59,0.045449519424965244,51
ENSMUSG00000056055,Sag,Gene Expression,0.019726897897569897,0.036220539443718724,0.08155018264843812,37,0.03404575160853324,37
ENSMUSG00000045210,Vcpip1,Gene Expression,0.01972458212974334,0.040367087602507734,0.08972914577181593,217,0.14603460085485384,178
ENSMUSG00000031586,Rbpms,Gene Expression,0.01972376630982678,0.040713955248400824,0.09038892161969236,289,0.23447971794933445,235
ENSMUSG00000015776,Med22,Gene Expression,0.019723082021082305,0.04114298011646089,0.09117882062342263,785,0.5649056016449061,503
ENSMUSG00000003283,Hck,Gene Expression,0.019716516050527932,0.04046303173190857,0.08990436735635458,280,0.1977676580756659,212
ENSMUSG00000060032,H2afj,Gene Expression,0.019703519457329635,0.040759185262991826,0.09046575966707848,252,0.18055443830860088,212
ENSMUSG00000078813,Leng1,Gene Expression,0.019691466547008797,0.04143264745373121,0.09175188343029718,827,0.6025979546474569,517
ENSMUSG00000018377,Vezf1,Gene Expression,0.019687930392397645,0.04145140076782505,0.09177699499678572,831,0.605293576246255,522
ENSMUSG00000037548,H2-DMb2,Gene Expression,0.019686878948254032,0.041015911737711575,0.0909230877388967,303,0.21053624234373192,235
ENSMUSG00000025209,Twnk,Gene Expression,0.01968206477508856,0.041008802650533305,0.09091778962775313,285,0.20264485707890076,222
ENSMUSG00000050428,Fbxo46,Gene Expression,0.01967794243420869,0.040778717738156,0.09049099008791908,195,0.13568787797895712,169
ENSMUSG00000026027,Stradb,Gene Expression,0.019676217754383,0.04145351450545154,0.09177699499678572,621,0.4226508285157307,417
ENSMUSG00000062949,Atp11c,Gene Expression,0.019673210462333748,0.04131525064815866,0.09152347004569678,409,0.258939091309891,297
ENSMUSG00000074582,Arfgef2,Gene Expression,0.01966261681923951,0.04157761694197748,0.0920306029416519,498,0.3399610598451835,350
ENSMUSG00000057726,Serpinb9g,Gene Expression,0.019661915000373613,0.03158819641562882,0.0722691119989912,25,0.01887570310394349,24
ENSMUSG00000073007,Tent5d,Gene Expression,0.0196535791929998,0.03671791834904137,0.0825542554455165,34,0.0361420810463423,33
ENSMUSG00000079484,Phyhd1,Gene Expression,0.019648170502400468,0.04118162711861806,0.09124844486110356,229,0.18330569344644534,197
ENSMUSG00000026649,Cfap126,Gene Expression,0.01963580656430201,0.04065651649687707,0.09027444691179032,136,0.08440362573581771,125
ENSMUSG00000041506,Rrp9,Gene Expression,0.019630217249141005,0.04207163317675855,0.09304925781005972,774,0.5443121217527244,496
ENSMUSG00000022899,Slc15a2,Gene Expression,0.01961741654369428,0.038308133934390476,0.08568959809357563,46,0.03612215164753881,44
ENSMUSG00000023307,March5,Gene Expression,0.019607767265721537,0.04219575973541456,0.09330236509382496,562,0.4059117788397421,387
ENSMUSG00000043659,Npsr1,Gene Expression,0.019593603263621633,0.032431152774073047,0.07395219985856312,18,0.018344163692852335,18
ENSMUSG00000037347,Chst7,Gene Expression,0.019574594996769102,0.04124503030622906,0.09137842155931566,133,0.09074368158350334,119
ENSMUSG00000020523,Fam114a2,Gene Expression,0.01957309196073061,0.042336137790799144,0.09358054505249384,635,0.4503036249483765,424
ENSMUSG00000057710,9630041A04Rik,Gene Expression,0.019567710083413067,0.026568024570094995,0.06186361631223715,11,0.007790977875003109,11
