"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pik3r6",0.000327727257738815,0.399277535756044,0.234,0.119,1
"Hmox1",0.00032896856502671,0.408607123341931,0.407,0.256,1
"Epb41l2",0.000333336511180507,0.355532046658164,0.604,0.43,1
"Creb3l1",0.000334040231089923,0.375742372730733,0.716,0.564,1
"Slc25a4",0.000335309781721731,-0.286853072230612,0.955,0.962,1
"Pld6",0.000336701056090303,1.04674488021621,0.12,0.044,1
"Cd34",0.000337493451893868,0.360438496590953,0.384,0.23,1
"Ivns1abp",0.000340260428389965,0.585070584783496,0.292,0.166,1
"Ppp1r1b",0.000342073095490823,-0.997170486988128,0.159,0.256,1
"Prxl2a",0.000345202606312529,0.26854963791322,0.833,0.738,1
"Robo4",0.000345895834367431,0.391795273409472,0.348,0.201,1
"Wbp2",0.000347784048857922,0.412143032307333,0.443,0.285,1
"Api5",0.00034917074300105,0.468494153524061,0.415,0.259,1
"Zbtb11",0.000349959852936484,0.313185613516956,0.513,0.331,1
"Sept9",0.000350884495077367,0.360208586696437,0.593,0.413,1
"Aars2",0.000351491623085052,0.878875993701647,0.156,0.067,1
"Gdf10",0.000352584042840424,0.398636790346578,0.337,0.195,1
"Dgkh",0.000352867021323056,0.754782949178171,0.128,0.049,1
"P3h4",0.0003533928431853,-0.659148497579473,0.482,0.523,1
"Cog4",0.000354923065017213,0.372044754601378,0.518,0.346,1
"Fermt2",0.000356351165578699,0.462390354342552,0.329,0.189,1
"Wnt10b",0.000357540678615538,1.50862656480478,0.1,0.032,1
"1190005I06Rik",0.000359269295592471,0.400363420482303,0.214,0.105,1
"Actr10",0.000363370690073068,0.393139249177121,0.786,0.599,1
"Ubqln1",0.000364996438050767,0.31538791096042,0.652,0.474,1
"Ppm1m",0.000366022499862031,0.430157164846907,0.323,0.186,1
"Ppp2r1a",0.000367055839939068,0.337298431700852,0.802,0.657,1
"Ebp",0.000368465785739942,0.561072260240132,0.256,0.137,1
"Lancl2",0.000369432378206877,1.38110108681791,0.1,0.032,1
"Tsg101",0.000370130475720723,0.769926605460817,0.214,0.108,1
"Cisd3",0.00037145294297574,0.48272630328604,0.368,0.224,1
"Crebbp",0.000371483138317835,0.415348876639039,0.607,0.433,1
"Ndufb5",0.000372250191517338,0.318147840428439,0.755,0.648,1
"Phox2a",0.000373860055306047,2.07341975935472,0.103,0.035,1
"Ubqln4",0.000375453684111028,0.463780810685909,0.409,0.259,1
"Stat6",0.000375574710731577,0.490319096980113,0.415,0.256,1
"Dhrs7b",0.000379584450702561,0.514978285562781,0.393,0.241,1
"Nrp2",0.000379772838708948,0.298684263251897,0.805,0.701,1
"Map3k5",0.000382441341388116,0.445698097460116,0.245,0.128,1
"Iqce",0.000382644577578415,0.413394013982526,0.201,0.096,1
"Rhoa",0.000384447834096754,0.304150483521233,0.738,0.593,1
"Tmem201",0.000386237101892503,0.411252151382836,0.284,0.154,1
