"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bud31",0.0115891374578576,0.586104116602716,0.676,0.561,1
"Cinp",0.011592453069414,0.877680103085165,0.456,0.312,1
"Tmbim1",0.0115974022996226,1.10900564919162,0.353,0.22,1
"Fbn2",0.0116049364820308,1.04760510452748,0.265,0.133,1
"Nde1",0.0116247245248747,0.750521080617594,0.588,0.48,1
"Cops7a",0.0116286924440702,0.778881626811859,0.5,0.37,1
"Tnk2",0.0116942005579206,0.528612257723917,0.75,0.607,1
"Elmo1",0.0118137781683119,1.48466891013632,0.221,0.104,1
"Med23",0.0118280467625136,1.52773763202821,0.176,0.069,1
"Cd33",0.0118818170898943,1.14785657816298,0.265,0.133,1
"Hpcal4",0.0118970848388352,2.12477296504994,0.118,0.035,1
"C1d",0.0118970848388352,2.12477296504994,0.118,0.035,1
"Car5b",0.0118970848388352,2.12477296504994,0.118,0.035,1
"Col9a3",0.0119456682699923,-0.520407058505326,0.985,0.988,1
"Sult1a1",0.012141192241708,1.49916847983144,0.206,0.092,1
"Dusp10",0.0121632199775261,1.50470666337286,0.265,0.139,1
"Pygl",0.0121684885349064,0.754823355299631,0.529,0.399,1
"Cnot10",0.012205706334899,0.954847963607625,0.412,0.266,1
"Tex264",0.0122251684433704,1.0796850755214,0.412,0.295,1
"Calm2",0.0122323025399413,0.455871645828885,0.941,0.844,1
"2700081O15Rik",0.0122616449151048,0.645688876938804,0.662,0.618,1
"Dedd2",0.0123073180772822,0.73523583806496,0.471,0.324,1
"Ap1b1",0.012375110300512,0.577170991832708,0.691,0.549,1
"Smtnl1",0.0123895743616661,-2.40772211577708,0.015,0.116,1
"Tomm5",0.0123978413201937,0.949829888841,0.382,0.249,1
"Tmbim6",0.0124123927676426,1.16274081524896,0.25,0.121,1
"Sfxn5",0.0124126586468281,1.99924208296608,0.118,0.035,1
"Art4",0.0124126586468281,1.99924208296608,0.118,0.035,1
"Tmem30b",0.0124126586468281,1.99924208296608,0.118,0.035,1
"Mxra8",0.0124160263731483,0.580142558363999,0.706,0.601,1
"Scara3",0.012416825140832,0.728844288718798,0.662,0.578,1
"Upf3a",0.0124572042191725,0.854125375106268,0.456,0.335,1
"Wdr11",0.0125148689041858,-2.23779711433477,0.015,0.116,1
"Rabggta",0.0125634854913728,1.15452030844399,0.235,0.11,1
"Azin2",0.0125830362881784,1.72567700964011,0.147,0.052,1
"Elmod2",0.0125831232922945,1.83259221355663,0.147,0.052,1
"Myl3",0.012635444480884,-2.11226623225091,0.015,0.116,1
"Anxa4",0.0126412837980972,0.629752589641579,0.662,0.561,1
"Mydgf",0.0126903898198073,0.870118224832117,0.529,0.416,1
"Dele1",0.0126948984192142,0.754589701555354,0.5,0.358,1
"Pip4k2c",0.0127257003885811,0.901754238064023,0.412,0.277,1
"Hspb6",0.0127573078939207,-0.864338718807326,0.191,0.364,1
"B4galnt1",0.0127634066011469,1.31154147665566,0.324,0.191,1
"Npm1",0.0128208222192447,0.425877362400426,0.809,0.63,1
"Smad3",0.012904024623776,0.385348580274273,0.824,0.699,1
"Abcg2",0.0129259986507002,1.465809882885,0.294,0.173,1
"Ptpn23",0.0129463610929848,1.86173855921614,0.118,0.035,1
"Vhl",0.0130164246493728,1.40856593105053,0.235,0.116,1
"Parp6",0.0130164246493728,1.40856593105053,0.235,0.116,1
"Pdf",0.0130229802386138,1.49155529572156,0.221,0.104,1
"Brd4",0.0130341043155414,0.700275136522027,0.559,0.468,1
"Ndufs1",0.0131441356516775,1.49400677471566,0.265,0.145,1
"Ogfod3",0.0131458927016142,1.42516789838766,0.206,0.092,1
"Otop1",0.0131485027290767,1.80659700502368,0.118,0.035,1
"Ccs",0.0131913290773472,1.17028762430231,0.235,0.11,1
"Phldb1",0.0131995843651796,0.328880033358636,0.941,0.873,1
"Rbm47",0.0132885789737866,1.61019979222018,0.147,0.052,1
"Ap3b1",0.0132922549740336,0.633469571543026,0.603,0.439,1
"Cd52",0.0133872341498593,0.731175990044605,0.603,0.514,1
"Intu",0.0133965992911372,1.58817348589018,0.147,0.052,1
"Esco2",0.0134132704073768,1.34716538638639,0.206,0.092,1
"Ube2d3",0.0134174223903599,0.63514614935041,0.676,0.613,1
"Ank1",0.0134762406815014,0.386693750573023,0.897,0.786,1
"Fmnl3",0.0134869994257934,0.798272140372751,0.456,0.324,1
"Zfp598",0.0134913056170063,0.826333223084945,0.515,0.387,1
"Dhx29",0.0134986724007014,1.70973546577109,0.118,0.035,1
"Epha3",0.0134986724007014,1.70973546577109,0.118,0.035,1
"Ptpn18",0.0135104175248995,0.861738559216144,0.485,0.37,1
"Lamp2",0.0135551324041371,1.14071450891896,0.397,0.272,1
"Trim54",0.0135855006947787,-1.92585310802003,0.029,0.139,1
"Eif2a",0.0135862468569946,1.07299042294739,0.353,0.214,1
"Mtss1",0.0136044750705179,0.856839759803304,0.412,0.272,1
"Plpp1",0.0136119206781605,0.840205397666502,0.471,0.335,1
"Snx2",0.0136757924821201,0.720382709970602,0.515,0.405,1
"Hivep1",0.0136958386593183,1.31154147665566,0.338,0.214,1
"Cyb561",0.0137117803768648,1.66909348127375,0.118,0.035,1
"Lig1",0.0138139633291848,0.565166038605675,0.632,0.48,1
"Lrp1",0.0138326936078895,-1.52730373152976,0.074,0.202,1
"Nme4",0.0138573162548037,1.34716538638639,0.191,0.081,1
"Rai14",0.013940844957813,1.56955780772283,0.235,0.121,1
"Scube1",0.0140296926291549,1.24762971283547,0.265,0.139,1
"Pcif1",0.0140959798320095,0.9150543737486,0.485,0.376,1
"Retsat",0.0141159331264043,1.50763005857963,0.294,0.185,1
"Mcur1",0.0141984102158127,1.00427767286338,0.382,0.254,1
"P4hb",0.0142552166144463,0.560159109720584,0.691,0.561,1
"Pdpk1",0.0142624489065966,0.839370746187689,0.515,0.393,1
"Psmd12",0.0142734596811747,0.783897956764548,0.515,0.382,1
"Vps29",0.0143547181166681,0.800883353829289,0.5,0.376,1
"Copa",0.0143549016796907,0.918322087582511,0.456,0.324,1
"Arhgef2",0.0143722194855726,0.885261282069567,0.456,0.324,1
"Gtf3a",0.0143739302920579,0.646725668245293,0.559,0.457,1
"Iglc1",0.0144040387975534,1.39779145945635,0.25,0.133,1
"Rpn2",0.0144674016831525,0.479525606860361,0.868,0.763,1
"Net1",0.0144895873707704,-0.829157386254078,0.25,0.422,1
"Cdh11",0.0145006287790143,1.11768354026362,0.426,0.318,1
"Lpgat1",0.0145258497895273,0.895786040043821,0.441,0.318,1
"Ppp1cb",0.0145574136596293,0.571871673561079,0.735,0.63,1
"Tk1",0.0145898010753469,0.445628025272074,0.868,0.705,1
"Zbtb48",0.0145917822911485,1.28576484172224,0.235,0.116,1
"Crlf2",0.014629883956282,1.0576587691914,0.397,0.266,1
"Vim",0.0147997018281869,0.450967605309898,1,0.994,1
"Wdfy2",0.0148805367639375,1.34716538638639,0.279,0.162,1
"Hoxb6",0.0148896724414977,0.951236710055246,0.426,0.283,1
"Fhdc1",0.0149008159029478,0.890787091726642,0.382,0.243,1
"Dync1i2",0.0149024569053504,1.02523729149902,0.382,0.249,1
"Bloc1s2",0.014912373300836,1.80659700502368,0.191,0.087,1
"Hbp1",0.015022178854781,0.727437467504552,0.618,0.503,1
"Maco1",0.0150413520476637,0.695088689806692,0.618,0.509,1
"Ncl",0.0150621189525242,0.375547187756208,0.868,0.809,1
"Ppp3cb",0.0151008146357933,0.971016900501136,0.412,0.283,1
